,Year,Ticker,Company,Sector,numEmployees,netIncome,netIncome_per_emp,grossProfit,grossProfit_per_emp,operatingIncome,operatingIncome_per_emp,totalRevenue,totalRevenue_per_emp,totalOperatingExpenses,totalOperatingExpenses_per_emp,mostly_remote
0,2021,WMT,Walmart Inc.,Retail Trade,2300000.0,13673000000.0,5944.782608695652,143754000000.0,62501.739130434784,25942000000.0,11279.130434782608,572754000000.0,249023.4782608696,546812000000.0,237744.34782608692,0
1,2020,WMT,Walmart Inc.,Retail Trade,2070000.0,13510000000.0,6526.570048309179,138836000000.0,67070.53140096618,26948000000.0,13018.357487922704,559151000000.0,270121.2560386473,532203000000.0,257102.89855072464,1
2,2019,WMT,Walmart Inc.,Retail Trade,1863000.0,14881000000.0,7987.6543209876545,129359000000.0,69435.85614600107,21468000000.0,11523.349436392917,523964000000.0,281247.45034889964,502496000000.0,269724.1009125067,0
3,2018,WMT,Walmart Inc.,Retail Trade,1676700.0,6670000000.0,3978.0521262002735,129104000000.0,76998.86682173317,21957000000.0,13095.365897298265,514405000000.0,306796.08755293133,492448000000.0,293700.72165563307,0
4,2021,AMZN,"Amazon.com, Inc.",Retail Trade,1298000.0,33364000000.0,25704.160246533127,197478000000.0,152140.2157164869,24879000000.0,19167.18027734977,469822000000.0,361958.3975346688,444943000000.0,342791.21725731896,0
5,2020,AMZN,"Amazon.com, Inc.",Retail Trade,1168200.0,21331000000.0,18259.71580208868,152757000000.0,130762.71186440678,22899000000.0,19601.95172059579,386064000000.0,330477.65793528507,363165000000.0,310875.70621468924,1
6,2019,AMZN,"Amazon.com, Inc.",Retail Trade,1051380.0,11588000000.0,11021.704807015542,114986000000.0,109366.73705035288,14541000000.0,13830.394338868917,280522000000.0,266813.1408244403,265981000000.0,252982.74648557132,0
7,2018,AMZN,"Amazon.com, Inc.",Retail Trade,946242.0,10073000000.0,10645.268335161618,93731000000.0,99056.05542768128,12421000000.0,13126.663158050478,232887000000.0,246117.8007317367,220466000000.0,232991.13757368625,0
8,2021,ACN,Accenture plc,Technology Services,624000.0,5906809000.0,9466.040064102564,16364128000.0,26224.5641025641,7621529000.0,12213.98878205128,50533389000.0,80982.99519230769,42911860000.0,68769.0064102564,1
9,2020,ACN,Accenture plc,Technology Services,561600.0,5107839000.0,9095.154914529914,13976158000.0,24886.321225071224,6513644000.0,11598.368945868946,44327039000.0,78929.91274928775,37813395000.0,67331.5438034188,1
10,2019,ACN,Accenture plc,Technology Services,505440.0,4779112000.0,9455.349794238684,13314688000.0,26342.76669832225,6305074000.0,12474.4262424818,43215013000.0,85499.78830326053,36909939000.0,73025.36206077873,0
11,2018,ACN,Accenture plc,Technology Services,454896.0,4059907000.0,8924.912507474235,12493364000.0,27464.22039323274,5898779000.0,12967.313407899828,40992534000.0,90114.07882241216,35093755000.0,77146.76541451232,0
12,2021,UPS,"United Parcel Service, Inc.",Transportation,543000.0,12890000000.0,23738.48987108656,26867000000.0,49478.82136279927,16268000000.0,29959.48434622468,97287000000.0,179165.7458563536,81019000000.0,149206.2615101289,0
13,2020,UPS,"United Parcel Service, Inc.",Transportation,488700.0,1343000000.0,2748.107223245345,11490000000.0,23511.35666052793,2096000000.0,4288.929813791692,84628000000.0,173169.6337221199,82532000000.0,168880.70390832823,0
14,2019,UPS,"United Parcel Service, Inc.",Transportation,439830.0,4440000000.0,10094.809358161108,13629000000.0,30986.972239274262,5447000000.0,12384.330309437735,74094000000.0,168460.54157288044,68647000000.0,156076.2112634427,0
15,2018,UPS,"United Parcel Service, Inc.",Transportation,395847.0,4791000000.0,12103.161069807276,13130000000.0,33169.3810992631,5458000000.0,13788.155524735566,71861000000.0,181537.31113283668,66403000000.0,167749.1556081011,0
16,2021,HD,"Home Depot, Inc. (The)",Retail Trade,504800.0,16433000000.0,32553.486529318543,50832000000.0,100697.3058637084,23302000000.0,46160.855784469095,151157000000.0,299439.381933439,127855000000.0,253278.5261489699,0
17,2020,HD,"Home Depot, Inc. (The)",Retail Trade,454320.0,12866000000.0,28319.24634618771,44853000000.0,98725.56788166933,20488000000.0,45095.967599929565,132110000000.0,290786.2299700652,111622000000.0,245690.2623701356,1
18,2019,HD,"Home Depot, Inc. (The)",Retail Trade,408888.0,11242000000.0,27494.081508872845,37572000000.0,91888.24323531138,15843000000.0,38746.55162293832,110225000000.0,269572.59689694975,94382000000.0,230826.04527401147,0
19,2018,HD,"Home Depot, Inc. (The)",Retail Trade,367999.0,11121000000.0,30220.17439168346,37160000000.0,100978.48038800084,15777000000.0,42872.37580951263,108203000000.0,294030.53050115326,92426000000.0,251158.15469164064,0
20,2021,KR,Kroger Company (The),Retail Trade,465000.0,1655000000.0,3559.1397849462364,31333000000.0,67382.79569892473,3709000000.0,7976.344086021505,137888000000.0,296533.3333333333,134179000000.0,288556.98924731184,0
