Breakdown,2021-09-25,2020-09-26,2019-09-28,2018-09-29
researchDevelopment,21914000000,18752000000,16217000000,14236000000
effectOfAccountingCharges,,,,
incomeBeforeTax,109207000000,67091000000,65737000000,72903000000
minorityInterest,,,,
netIncome,94680000000,57411000000,55256000000,59531000000
sellingGeneralAdministrative,21973000000,19916000000,18245000000,16705000000
grossProfit,152836000000,104956000000,98392000000,101839000000
ebit,108949000000,66288000000,63930000000,70898000000
operatingIncome,108949000000,66288000000,63930000000,70898000000
otherOperatingExpenses,,,,
interestExpense,-2645000000,-2873000000,-3576000000,-3240000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,14527000000,9680000000,10481000000,13372000000
totalRevenue,365817000000,274515000000,260174000000,265595000000
totalOperatingExpenses,256868000000,208227000000,196244000000,194697000000
costOfRevenue,212981000000,169559000000,161782000000,163756000000
totalOtherIncomeExpenseNet,258000000,803000000,1807000000,2005000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,94680000000,57411000000,55256000000,59531000000
netIncomeApplicableToCommonShares,94680000000,57411000000,55256000000,59531000000
