Breakdown,2021-09-30,2020-09-30,2019-09-30,2018-09-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2221859000,-5293831000,967106000,1177423000
minorityInterest,361057000,179288000,114289000,117137000
netIncome,1539932000,-3408716000,855365000,1658405000
sellingGeneralAdministrative,3594251000,2729432000,2663508000,2460301000
grossProfit,6774434000,5188229000,5138312000,4576379000
ebit,2675011000,2067735000,2012397000,1650951000
operatingIncome,2675011000,2067735000,2012397000,1650951000
otherOperatingExpenses,,,,
interestExpense,-182544000,-158522000,-157769000,-189640000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,677251000,-1894273000,112971000,-438469000
totalRevenue,213988843000,189893926000,179589121000,167939635000
totalOperatingExpenses,211313832000,187826191000,177576724000,166288684000
costOfRevenue,207214409000,184705697000,174450809000,163363256000
totalOtherIncomeExpenseNet,-453152000,-7361566000,-1045291000,-473528000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1544608000,-3399558000,854135000,1615892000
netIncomeApplicableToCommonShares,1539932000,-3408716000,855365000,1658405000
