Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3313000000,1883000000,1588000000,2060000000
minorityInterest,290000000,96000000,75000000,64000000
netIncome,2709000000,1772000000,1379000000,1810000000
sellingGeneralAdministrative,3006000000,2591000000,2519000000,2213000000
grossProfit,5987000000,4453000000,4147000000,4181000000
ebit,2938000000,1806000000,1587000000,1924000000
operatingIncome,2938000000,1806000000,1587000000,1924000000
otherOperatingExpenses,11000000,9000000,18000000,18000000
interestExpense,-265000000,-339000000,-402000000,-364000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,578000000,101000000,209000000,245000000
totalRevenue,85249000000,64355000000,64656000000,64341000000
totalOperatingExpenses,82311000000,62549000000,63069000000,62417000000
costOfRevenue,79262000000,59902000000,60509000000,60160000000
totalOtherIncomeExpenseNet,375000000,77000000,1000000,136000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2735000000,1782000000,1379000000,1815000000
netIncomeApplicableToCommonShares,2709000000,1772000000,1379000000,1810000000
