Breakdown,2022-06-30,2021-06-30,2020-06-30,2019-06-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3804100000,3361200000,3182600000,3005600000
minorityInterest,,,,
netIncome,2948900000,2598500000,2466500000,2292800000
sellingGeneralAdministrative,3171500000,3009700000,2830600000,3057500000
grossProfit,7447100000,6768100000,6511600000,6393000000
ebit,3864900000,3355400000,3314100000,3031100000
operatingIncome,3864900000,3355400000,3314100000,3031100000
otherOperatingExpenses,,,,
interestExpense,-81900000,-59700000,-107100000,-129900000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,855200000,762700000,716100000,712800000
totalRevenue,16498300000,15005400000,14589800000,14110200000
totalOperatingExpenses,12633400000,11650000000,11275700000,11079100000
costOfRevenue,9051200000,8237300000,8078200000,7717200000
totalOtherIncomeExpenseNet,-60800000,5800000,-131500000,-25500000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2948900000,2598500000,2466500000,2292800000
netIncomeApplicableToCommonShares,2948900000,2598500000,2466500000,2292800000
