Breakdown,2022-01-31,2021-01-31,2020-01-31,2019-01-31
researchDevelopment,1080700000,899800000,851100000,725000000
effectOfAccountingCharges,,,,
incomeBeforeTax,564700000,546700000,294800000,-42700000
minorityInterest,,,,
netIncome,497000000,1208200000,214500000,-80800000
sellingGeneralAdministrative,2104600000,1874500000,1686600000,1507800000
grossProfit,4021400000,3484900000,2984400000,2299400000
ebit,742600000,642200000,373300000,33100000
operatingIncome,742600000,642200000,373300000,33100000
otherOperatingExpenses,,,,
interestExpense,-65000000,-51100000,-54000000,-52100000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,67700000,-661500000,80300000,38100000
totalRevenue,4386400000,3790400000,3274300000,2569800000
totalOperatingExpenses,3643800000,3148200000,2901000000,2536700000
costOfRevenue,365000000,305500000,289900000,270400000
totalOtherIncomeExpenseNet,-177900000,-95500000,-78500000,-75800000
discontinuedOperations,,,,
netIncomeFromContinuingOps,497000000,1208200000,214500000,-80800000
netIncomeApplicableToCommonShares,497000000,1208200000,214500000,-80800000
