Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1152000000,1032000000,1016000000,1058000000
minorityInterest,129000000,142000000,142000000,142000000
netIncome,990000000,871000000,828000000,815000000
sellingGeneralAdministrative,-136000000,-116000000,-90000000,-70000000
grossProfit,2991000000,2858000000,2743000000,2795000000
ebit,1469000000,1416000000,1357000000,1427000000
operatingIncome,1469000000,1416000000,1357000000,1427000000
otherOperatingExpenses,512000000,483000000,481000000,483000000
interestExpense,-383000000,-419000000,-381000000,-401000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,157000000,155000000,182000000,237000000
totalRevenue,6119000000,5540000000,5646000000,6009000000
totalOperatingExpenses,4650000000,4124000000,4289000000,4582000000
costOfRevenue,3128000000,2682000000,2903000000,3214000000
totalOtherIncomeExpenseNet,-317000000,-384000000,-341000000,-369000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,995000000,877000000,834000000,821000000
netIncomeApplicableToCommonShares,990000000,871000000,828000000,815000000
