Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2603600000,2237200000,1906900000,2046600000
minorityInterest,247000000,223600000,346700000,100400000
netIncome,2488100000,2200100000,1921100000,1923800000
sellingGeneralAdministrative,-118600000,-119000000,-120000000,-124500000
grossProfit,7656200000,6966000000,6497700000,6182600000
ebit,3541500000,3106700000,2868700000,2877800000
operatingIncome,3541500000,3106700000,2868700000,2877800000
otherOperatingExpenses,1407600000,1295500000,1234500000,1142700000
interestExpense,-1199100000,-1165700000,-1072500000,-984400000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,115500000,40500000,-12900000,115300000
totalRevenue,16792000000,14918500000,15561400000,16195700000
totalOperatingExpenses,13250500000,11811800000,12692700000,13317900000
costOfRevenue,9135800000,7952500000,9063700000,10013100000
totalOtherIncomeExpenseNet,-937900000,-869500000,-961800000,-831200000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2488100000,2196700000,1919800000,1931300000
netIncomeApplicableToCommonShares,2488100000,2200100000,1921100000,1923800000
