Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,783000000,580800000,454700000,333500000
minorityInterest,,3400000.0,29300000.0,21900000.0
netIncome,1372400000,441800000,382600000,251000000
sellingGeneralAdministrative,,,,
grossProfit,1161700000,933100000,862000000,767700000
ebit,917200000,695500000,612900000,458100000
operatingIncome,917200000,695500000,612900000,458100000
otherOperatingExpenses,170700000,181500000,197300000,270600000
interestExpense,-111800000,-104500000,-110600000,-100300000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,169500000,60400000,148300000,80900000
totalRevenue,10187600000,9589600000,9406100000,8000700000
totalOperatingExpenses,9270400000,8894100000,8793200000,7542600000
costOfRevenue,9025900000,8656500000,8544100000,7233000000
totalOtherIncomeExpenseNet,-134200000,-114700000,-158200000,-124600000
discontinuedOperations,758900000,-77700000,80400000,80400000
netIncomeFromContinuingOps,613500000,520400000,306400000,252600000
netIncomeApplicableToCommonShares,1367700000,423100000,363900000,236800000
