Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,335372000,269315000,261365000,246165000
effectOfAccountingCharges,,,,
incomeBeforeTax,714213000,602976000,531385000,343089000
minorityInterest,,,,
netIncome,651642000,557054000,478035000,298373000
sellingGeneralAdministrative,1001674000,1032439000,1022529000,1065922000
grossProfit,2192267000,2065477000,1905993000,1760989000
ebit,807202000,721674000,583518000,415591000
operatingIncome,807202000,721674000,583518000,415591000
otherOperatingExpenses,,,,
interestExpense,-72332000,-69120000,-49364000,-43202000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,62571000,45922000,53350000,44716000
totalRevenue,3461223000,3198149000,2893617000,2714474000
totalOperatingExpenses,2654021000,2476475000,2310099000,2298883000
costOfRevenue,1268956000,1132672000,987624000,953485000
totalOtherIncomeExpenseNet,-92989000,-118698000,-52133000,-72502000
discontinuedOperations,,,,
netIncomeFromContinuingOps,651642000,557054000,478035000,298373000
netIncomeApplicableToCommonShares,651642000,557054000,478035000,298373000
