Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,250315000,175307000,157361000,128899000
effectOfAccountingCharges,,,,
incomeBeforeTax,1012423000,378949000,555123000,457958000
minorityInterest,,,,
netIncome,772020000,1775888000,442776000,400235000
sellingGeneralAdministrative,1708640000,1200757000,1072053000,852404000
grossProfit,2935355000,1763235000,1743897000,1447867000
ebit,976400000,387171000,514483000,466564000
operatingIncome,976400000,387171000,514483000,466564000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,240403000,-1396939000,112347000,57723000
totalRevenue,3952584000,2471941000,2406796000,1966492000
totalOperatingExpenses,2976184000,2084770000,1892313000,1499928000
costOfRevenue,1017229000,708706000,662899000,518625000
totalOtherIncomeExpenseNet,36023000,-8222000,40640000,-8606000
discontinuedOperations,,,,
netIncomeFromContinuingOps,772020000,1775888000,442776000,400235000
netIncomeApplicableToCommonShares,772020000,1775888000,442776000,400235000
