Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,629000000,-1840000000,1016000000,585000000
minorityInterest,,,,
netIncome,478000000,-1324000000,769000000,437000000
sellingGeneralAdministrative,173000000,101000000,313000000,326000000
grossProfit,939000000,-680000000,2366000000,2089000000
ebit,-257000000,-1711000000,1071000000,793000000
operatingIncome,-257000000,-1711000000,1071000000,793000000
otherOperatingExpenses,629000000,510000000,559000000,572000000
interestExpense,-117000000,-87000000,-63000000,-73000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,151000000,-516000000,247000000,148000000
totalRevenue,6176000000,3566000000,8781000000,8264000000
totalOperatingExpenses,6433000000,5277000000,7710000000,7471000000
costOfRevenue,5237000000,4246000000,6415000000,6175000000
totalOtherIncomeExpenseNet,886000000,-129000000,-55000000,-208000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,478000000,-1324000000,769000000,437000000
netIncomeApplicableToCommonShares,478000000,-1324000000,769000000,437000000
