Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,6448000000,6802000000,5443000000,2628000000
minorityInterest,-52000000,-52000000,-52000000,-52000000
netIncome,1599000000,5576000000,4847000000,2160000000
sellingGeneralAdministrative,6594000000,5443000000,5536000000,6062000000
grossProfit,13969000000,13882000000,11577000000,9188000000
ebit,6999000000,8321000000,5915000000,3021000000
operatingIncome,6999000000,8321000000,5915000000,3021000000
otherOperatingExpenses,,,,
interestExpense,-330000000,-318000000,-327000000,-332000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1289000000,1373000000,1116000000,468000000
totalRevenue,50588000000,41909000000,41541000000,39815000000
totalOperatingExpenses,43589000000,33588000000,35626000000,36794000000
costOfRevenue,36619000000,28027000000,29964000000,30627000000
totalOtherIncomeExpenseNet,-551000000,-1519000000,-472000000,-393000000
discontinuedOperations,-3593000000,147000000,520000000,520000000
netIncomeFromContinuingOps,5159000000,5429000000,4327000000,2160000000
netIncomeApplicableToCommonShares,1485000000,5461000000,4678000000,2012000000
