Breakdown,2021-10-31,2020-10-25,2019-10-27,2018-10-28
researchDevelopment,2485000000,2234000000,2054000000,2022000000
effectOfAccountingCharges,,,,
incomeBeforeTax,6771000000,4166000000,3269000000,4396000000
minorityInterest,,,,
netIncome,5888000000,3619000000,2706000000,3038000000
sellingGeneralAdministrative,1184000000,1013000000,960000000,999000000
grossProfit,10926000000,7715000000,6386000000,7517000000
ebit,7257000000,4468000000,3372000000,4496000000
operatingIncome,7257000000,4468000000,3372000000,4496000000
otherOperatingExpenses,,,,
interestExpense,-236000000,-240000000,-237000000,-234000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,883000000,547000000,563000000,1358000000
totalRevenue,23063000000,17202000000,14608000000,16705000000
totalOperatingExpenses,15806000000,12734000000,11236000000,12209000000
costOfRevenue,12137000000,9487000000,8222000000,9188000000
totalOtherIncomeExpenseNet,-486000000,-302000000,-103000000,32000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,5888000000,3619000000,2706000000,3038000000
netIncomeApplicableToCommonShares,5888000000,3619000000,2706000000,3038000000
