Breakdown,2021-06-30,2020-06-30,2019-06-30,2018-06-30
researchDevelopment,100000000,97000000,64000000,72700000
effectOfAccountingCharges,,,,
incomeBeforeTax,1212000000,811000000,608000000,705400000
minorityInterest,57000000,61000000,65700000,68800000
netIncome,939000000,612000000,430000000,575200000
sellingGeneralAdministrative,1279000000,1283000000,815000000,784200000
grossProfit,2732000000,2591000000,1799000000,1856800000
ebit,1438000000,1246000000,1098000000,1042900000
operatingIncome,1438000000,1246000000,1098000000,1042900000
otherOperatingExpenses,-85000000,-35000000,-178000000,-43000000
interestExpense,-157000000,-207000000,-208000000,-210000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,261000000,187000000,172000000,118800000
totalRevenue,12861000000,12468000000,9458000000,9319100000
totalOperatingExpenses,11423000000,11222000000,8360000000,8276200000
costOfRevenue,10129000000,9877000000,7659000000,7462300000
totalOtherIncomeExpenseNet,-226000000,-435000000,-490000000,-337500000
discontinuedOperations,,-8000000.0,1000000.0,1000000.0
netIncomeFromContinuingOps,951000000,624000000,436000000,586600000
netIncomeApplicableToCommonShares,937000000,612000000,429000000,573900000
