Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1223170000,1082309000,1069748000,987745000
minorityInterest,,,,
netIncome,990053000,872439000,861297000,777933000
sellingGeneralAdministrative,603944000,515630000,610280000,597433000
grossProfit,1912614000,1587214000,1787660000,1659562000
ebit,1308670000,1071584000,1177380000,1062129000
operatingIncome,1308670000,1071584000,1177380000,1062129000
otherOperatingExpenses,,,,
interestExpense,-80381000,-86062000,-88481000,-82180000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,233117000,209870000,208451000,209812000
totalRevenue,5546514000,4540029000,5158557000,4845872000
totalOperatingExpenses,4237844000,3468445000,3981177000,3783743000
costOfRevenue,3633900000,2952815000,3370897000,3186310000
totalOtherIncomeExpenseNet,-85500000,10725000,-107632000,-74384000
discontinuedOperations,,,,
netIncomeFromContinuingOps,990053000,872439000,861297000,777933000
netIncomeApplicableToCommonShares,990053000,872439000,861297000,777933000
