Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3350000000,1831000000,2232000000,2484000000
minorityInterest,,,,
netIncome,2760000000,1534000000,1893000000,2098000000
sellingGeneralAdministrative,3403000000,3116000000,3273000000,3152000000
grossProfit,7588000000,5816000000,6325000000,6663000000
ebit,4185000000,2700000000,3052000000,3511000000
operatingIncome,4185000000,2700000000,3052000000,3511000000
otherOperatingExpenses,,,,
interestExpense,-803000000,-865000000,-1019000000,-1008000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,590000000,297000000,339000000,386000000
totalRevenue,13443000000,11958000000,12890000000,12924000000
totalOperatingExpenses,9258000000,9258000000,9838000000,9413000000
costOfRevenue,5855000000,6142000000,6565000000,6261000000
totalOtherIncomeExpenseNet,-835000000,-869000000,-820000000,-1027000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2760000000,1534000000,1893000000,2098000000
netIncomeApplicableToCommonShares,2760000000,1534000000,1893000000,2098000000
