Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,56052000000,42740000000,35931000000,28837000000
effectOfAccountingCharges,,,,
incomeBeforeTax,38155000000,24194000000,13962000000,11270000000
minorityInterest,,,,
netIncome,33364000000,21331000000,11588000000,10073000000
sellingGeneralAdministrative,116485000000,87193000000,64313000000,52177000000
grossProfit,197478000000,152757000000,114986000000,93731000000
ebit,24879000000,22899000000,14541000000,12421000000
operatingIncome,24879000000,22899000000,14541000000,12421000000
otherOperatingExpenses,62000000,-75000000,201000000,296000000
interestExpense,-1809000000,-1647000000,-1600000000,-1417000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,4791000000,2863000000,2374000000,1197000000
totalRevenue,469822000000,386064000000,280522000000,232887000000
totalOperatingExpenses,444943000000,363165000000,265981000000,220466000000
costOfRevenue,272344000000,233307000000,165536000000,139156000000
totalOtherIncomeExpenseNet,13276000000,1295000000,-579000000,-1151000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,33364000000,21331000000,11588000000,10073000000
netIncomeApplicableToCommonShares,33364000000,21331000000,11588000000,10073000000
