Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7925000000,6238000000,5985000000,5068000000
minorityInterest,68000000,68000000,68000000,68000000
netIncome,6104000000,4572000000,4807000000,3750000000
sellingGeneralAdministrative,26600000000,25202000000,15356000000,14020000000
grossProfit,35998000000,33823000000,22426000000,20196000000
ebit,8957000000,8260000000,6732000000,5818000000
operatingIncome,8957000000,8260000000,6732000000,5818000000
otherOperatingExpenses,,,,
interestExpense,-802000000,-785000000,-745000000,-739000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1830000000,1666000000,1178000000,1318000000
totalRevenue,138643000000,121868000000,104212000000,92091000000
totalOperatingExpenses,129686000000,113608000000,97480000000,86273000000
costOfRevenue,102645000000,88045000000,81786000000,71895000000
totalOtherIncomeExpenseNet,-1032000000,-2022000000,-747000000,-750000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,6095000000,4572000000,4807000000,3750000000
netIncomeApplicableToCommonShares,6104000000,4572000000,4807000000,3750000000
