Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1931000000,2466000000,1870000000,1246000000
minorityInterest,97000000,88000000,74000000,68000000
netIncome,1255000000,1969000000,1532000000,1134000000
sellingGeneralAdministrative,1603000000,1844000000,2226000000,2279000000
grossProfit,5476000000,5174000000,4968000000,4668000000
ebit,3547000000,2917000000,2178000000,1796000000
operatingIncome,3547000000,2917000000,2178000000,1796000000
otherOperatingExpenses,,,,
interestExpense,-322000000,-334000000,-307000000,-278000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,623000000,448000000,297000000,146000000
totalRevenue,12193000000,11066000000,11013000000,10770000000
totalOperatingExpenses,8646000000,8149000000,8835000000,8974000000
costOfRevenue,6717000000,5892000000,6045000000,6102000000
totalOtherIncomeExpenseNet,-1616000000,-451000000,-308000000,-550000000
discontinuedOperations,,,,74000000.0
netIncomeFromContinuingOps,1308000000,2018000000,1573000000,1100000000
netIncomeApplicableToCommonShares,1255000000,1969000000,1532000000,1134000000
