Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,625600000,443900000,472100000,557800000
minorityInterest,,,,
netIncome,487100000,344900000,370000000,444200000
sellingGeneralAdministrative,702000000,667200000,721000000,755200000
grossProfit,1310900000,1108200000,1180700000,1305500000
ebit,608900000,441000000,459700000,550300000
operatingIncome,608900000,441000000,459700000,550300000
otherOperatingExpenses,,,,
interestExpense,-4300000,-7300000,-11000000,-8400000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,138500000,99000000,102100000,113600000
totalRevenue,3538900000,2895300000,2992700000,3187900000
totalOperatingExpenses,2930000000,2454300000,2533000000,2637600000
costOfRevenue,2228000000,1787100000,1812000000,1882400000
totalOtherIncomeExpenseNet,16700000,2900000,12400000,7500000
discontinuedOperations,,,,
netIncomeFromContinuingOps,487100000,344900000,370000000,444200000
netIncomeApplicableToCommonShares,487100000,344900000,370000000,444200000
