Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1891000000,-4840000000,-3008000000,958000000
minorityInterest,1590000000,1602000000,1765000000,1682000000
netIncome,973000000,-4860000000,-3553000000,40000000
sellingGeneralAdministrative,376000000,290000000,406000000,431000000
grossProfit,5080000000,2714000000,4629000000,5627000000
ebit,2966000000,-4396000000,-1244000000,1649000000
operatingIncome,2966000000,-4396000000,-1244000000,1649000000
otherOperatingExpenses,223000000,455000000,349000000,301000000
interestExpense,-418000000,-434000000,-400000000,-406000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,578000000,64000000,674000000,672000000
totalRevenue,8025000000,4393000000,6354000000,7555000000
totalOperatingExpenses,5059000000,8789000000,7598000000,5906000000
costOfRevenue,2945000000,1679000000,1725000000,1928000000
totalOtherIncomeExpenseNet,-1075000000,-444000000,-1764000000,-691000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1313000000,-4904000000,-3682000000,286000000
netIncomeApplicableToCommonShares,973000000,-4860000000,-3553000000,40000000
