Breakdown,2021-09-30,2020-09-30,2019-09-30,2018-09-30
researchDevelopment,93500000,83900000,72900000,64500000
effectOfAccountingCharges,,,,
incomeBeforeTax,2507400000,2423800000,2289500000,2015000000
minorityInterest,548300000,363300000,334700000,318800000
netIncome,2099100000,1886700000,1760000000,1497800000
sellingGeneralAdministrative,744600000,731000000,736100000,801200000
grossProfit,3136900000,2998200000,2943400000,2740700000
ebit,2354400000,2247200000,2183700000,1925200000
operatingIncome,2354400000,2247200000,2183700000,1925200000
otherOperatingExpenses,-55600000,-63900000,-49300000,-50200000
interestExpense,-141800000,-109300000,-137000000,-130500000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,462800000,478400000,480100000,524300000
totalRevenue,10323000000,8856300000,8918900000,8930200000
totalOperatingExpenses,7968600000,6609100000,6735200000,7005000000
costOfRevenue,7186100000,5858100000,5975500000,6189500000
totalOtherIncomeExpenseNet,153000000,176600000,105800000,89800000
discontinuedOperations,70300000,-14300000,-14300000,42200000
netIncomeFromContinuingOps,2044600000,1945400000,1809400000,1490700000
netIncomeApplicableToCommonShares,2099100000,1886700000,1760000000,1497800000
