Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,710000000,1871000000,1141000000,1357000000
minorityInterest,214000000,195000000,192000000,211000000
netIncome,590000000,1804000000,990000000,1067000000
sellingGeneralAdministrative,1081000000,996000000,1103000000,1011000000
grossProfit,2438000000,1950000000,2649000000,2733000000
ebit,1209000000,810000000,1408000000,1598000000
operatingIncome,1209000000,810000000,1408000000,1598000000
otherOperatingExpenses,,,,
interestExpense,-150000000,-164000000,-164000000,-141000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,101000000,49000000,132000000,250000000
totalRevenue,15618000000,13066000000,14357000000,14435000000
totalOperatingExpenses,14409000000,12256000000,12949000000,12837000000
costOfRevenue,13180000000,11116000000,11708000000,11702000000
totalOtherIncomeExpenseNet,-499000000,1061000000,-267000000,-241000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,609000000,1822000000,1009000000,1107000000
netIncomeApplicableToCommonShares,527000000,1769000000,990000000,1067000000
