Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,654282000,827171000,404047000,402793000
minorityInterest,2843708000,1718066000,1300652000,552749000
netIncome,571247000,770959000,363165000,379312000
sellingGeneralAdministrative,151461000,133341000,108823000,90405000
grossProfit,1502850000,1363561000,1095940000,953881000
ebit,530328000,532116000,442505000,385815000
operatingIncome,530328000,532116000,442505000,385815000
otherOperatingExpenses,,,,
interestExpense,-142165000,-171609000,-173675000,-157495000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,0,0,0,0
totalRevenue,2126405000,1893785000,1541432000,1335001000
totalOperatingExpenses,1596077000,1361669000,1098927000,949186000
costOfRevenue,623555000,530224000,445492000,381120000
totalOtherIncomeExpenseNet,123954000,295055000,-38458000,16978000
discontinuedOperations,,,,
netIncomeFromContinuingOps,654282000,827171000,404047000,402793000
netIncomeApplicableToCommonShares,563399000,760791000,350995000,363983000
