Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,1337000000,1150000000,998000000,1101000000
effectOfAccountingCharges,,,,
incomeBeforeTax,3164000000,2616000000,1633000000,1877000000
minorityInterest,,,,
netIncome,2699000000,2197000000,1503000000,1848000000
sellingGeneralAdministrative,1813000000,1848000000,1658000000,1884000000
grossProfit,6486000000,5826000000,4395000000,4983000000
ebit,3336000000,2828000000,1739000000,1998000000
operatingIncome,3336000000,2828000000,1739000000,1998000000
otherOperatingExpenses,,,,
interestExpense,-108000000,-99000000,-90000000,-140000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,465000000,419000000,130000000,29000000
totalRevenue,8803000000,8086000000,6489000000,7500000000
totalOperatingExpenses,5467000000,5258000000,4750000000,5502000000
costOfRevenue,2317000000,2260000000,2094000000,2517000000
totalOtherIncomeExpenseNet,-172000000,-212000000,-106000000,-121000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2699000000,2197000000,1503000000,1848000000
netIncomeApplicableToCommonShares,2699000000,2197000000,1503000000,1848000000
