Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1010089000,824459000,799106000,974015000
minorityInterest,3934000,3268000,3901000,3244000
netIncome,1004299000,827630000,785974000,974525000
sellingGeneralAdministrative,70588000,57792000,67217000,61413000
grossProfit,1455149000,1479342000,1559289000,1523717000
ebit,625965000,714219000,830494000,831108000
operatingIncome,625965000,714219000,830494000,831108000
otherOperatingExpenses,,,,
interestExpense,-220415000,-214151000,-203585000,-220974000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5733000,-3247000,13003000,-160000
totalRevenue,2310130000,2302526000,2327490000,2289150000
totalOperatingExpenses,1684165000,1588307000,1496996000,1458042000
costOfRevenue,854981000,823184000,768201000,765433000
totalOtherIncomeExpenseNet,384124000,110240000,-31388000,142907000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1004356000,827706000,786103000,974175000
netIncomeApplicableToCommonShares,1002199000,825675000,783911000,971686000
