Breakdown,2021-10-31,2020-11-01,2019-11-03,2018-11-04
researchDevelopment,4854000000,4968000000,4696000000,3768000000
effectOfAccountingCharges,,,,
incomeBeforeTax,6765000000,2443000000,2226000000,4545000000
minorityInterest,,,,
netIncome,6736000000,2960000000,2724000000,12259000000
sellingGeneralAdministrative,1348000000,1932000000,1708000000,1027000000
grossProfit,20288000000,17370000000,15874000000,13827000000
ebit,8683000000,4250000000,4258000000,5487000000
operatingIncome,8683000000,4250000000,4258000000,5487000000
otherOperatingExpenses,,,,
interestExpense,-1885000000,-1777000000,-1444000000,-628000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,29000000,-518000000,-510000000,-8084000000
totalRevenue,27450000000,23888000000,22597000000,20848000000
totalOperatingExpenses,18767000000,19638000000,18339000000,15361000000
costOfRevenue,7162000000,6518000000,6723000000,7021000000
totalOtherIncomeExpenseNet,-1918000000,-1807000000,-2032000000,-942000000
discontinuedOperations,,-1000000.0,-12000000.0,-19000000.0
netIncomeFromContinuingOps,6736000000,2961000000,2736000000,12629000000
netIncomeApplicableToCommonShares,6437000000,2663000000,2695000000,12259000000
