Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1640000000,924000000,833000000,787000000
minorityInterest,,,,
netIncome,1263000000,709000000,621000000,567000000
sellingGeneralAdministrative,-78000000,-49000000,-16000000,-20000000
grossProfit,2153000000,2155000000,2066000000,1961000000
ebit,1274000000,1297000000,1230000000,1159000000
operatingIncome,1274000000,1297000000,1230000000,1159000000
otherOperatingExpenses,321000000,303000000,270000000,277000000
interestExpense,-403000000,-397000000,-386000000,-350000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,377000000,215000000,212000000,222000000
totalRevenue,3930000000,3777000000,3610000000,3440000000
totalOperatingExpenses,2656000000,2480000000,2380000000,2281000000
costOfRevenue,1777000000,1622000000,1544000000,1479000000
totalOtherIncomeExpenseNet,366000000,-373000000,-397000000,-372000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1263000000,709000000,621000000,565000000
netIncomeApplicableToCommonShares,1263000000,709000000,621000000,567000000
