Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,10689000000,4296000000,8429000000,8122000000
minorityInterest,,,,
netIncome,8060000000,3135000000,6759000000,6921000000
sellingGeneralAdministrative,15293000000,12465000000,13036000000,11869000000
grossProfit,30799000000,22086000000,27321000000,25513000000
ebit,0,0,0,0
operatingIncome,10169000000,4262000000,8389000000,8187000000
otherOperatingExpenses,5337000000,5359000000,5896000000,5457000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2629000000,1161000000,1670000000,1201000000
totalRevenue,43799000000,31357000000,39983000000,36986000000
totalOperatingExpenses,33630000000,27095000000,31594000000,28799000000
costOfRevenue,13000000000,9271000000,12662000000,11473000000
totalOtherIncomeExpenseNet,520000000,34000000,40000000,-65000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,8060000000,3135000000,6759000000,6921000000
netIncomeApplicableToCommonShares,7917000000,3036000000,6631000000,6787000000
