Breakdown,2021-08-28,2020-08-29,2019-08-31,2018-08-25
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2749190000,2216514000,2031333000,1636329000
minorityInterest,,,,
netIncome,2170314000,1732972000,1617221000,1337536000
sellingGeneralAdministrative,4730258000,4269174000,4148864000,3839428000
grossProfit,7717785000,6770753000,6365001000,5973746000
ebit,2987527000,2501579000,2216137000,2134318000
operatingIncome,2987527000,2501579000,2216137000,2134318000
otherOperatingExpenses,,,,
interestExpense,-200754000,-206854000,-192200000,-180163000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,578876000,483542000,414112000,298793000
totalRevenue,14629585000,12631967000,11863743000,11221077000
totalOperatingExpenses,11642058000,10130388000,9647606000,9086759000
costOfRevenue,6911800000,5861214000,5498742000,5247331000
totalOtherIncomeExpenseNet,-238337000,-285065000,-184804000,-497989000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2170314000,1732972000,1617221000,1337536000
netIncomeApplicableToCommonShares,2170314000,1732972000,1617221000,1337536000
