Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,529000000,495000000,561000000,618000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1477000000,1292000000,970000000,1617000000
minorityInterest,44000000,37000000,30000000,22000000
netIncome,1284000000,1102000000,1001000000,1546000000
sellingGeneralAdministrative,2630000000,2360000000,2442000000,2401000000
grossProfit,5250000000,4733000000,4821000000,4811000000
ebit,2091000000,1878000000,1822000000,1801000000
operatingIncome,2091000000,1878000000,1822000000,1801000000
otherOperatingExpenses,,,-4000000.0,-9000000.0
interestExpense,-206000000,-153000000,-111000000,-93000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,182000000,182000000,-41000000,65000000
totalRevenue,12784000000,11673000000,11362000000,11099000000
totalOperatingExpenses,10693000000,9795000000,9540000000,9298000000
costOfRevenue,7534000000,6940000000,6541000000,6288000000
totalOtherIncomeExpenseNet,-614000000,-586000000,-852000000,-184000000
discontinuedOperations,,,,-6000000.0
netIncomeFromContinuingOps,1295000000,1110000000,1011000000,1552000000
netIncomeApplicableToCommonShares,1284000000,1102000000,1001000000,1546000000
