Breakdown,2021-09-30,2020-09-30,2019-09-30,2018-09-30
researchDevelopment,1339000000,1096000000,1032000000,1004000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2242000000,985000000,1176000000,1173000000
minorityInterest,,,,
netIncome,2092000000,874000000,1233000000,311000000
sellingGeneralAdministrative,4868000000,4318000000,4334000000,4029000000
grossProfit,9576000000,7919000000,8288000000,7805000000
ebit,3369000000,2520000000,2944000000,2772000000
operatingIncome,3369000000,2520000000,2944000000,2772000000
otherOperatingExpenses,,-15000000.0,-22000000.0,-22000000.0
interestExpense,-469000000,-528000000,-639000000,-706000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,150000000,111000000,-57000000,862000000
totalRevenue,20248000000,17117000000,17290000000,15983000000
totalOperatingExpenses,16879000000,14597000000,14346000000,13211000000
costOfRevenue,10672000000,9198000000,9002000000,8178000000
totalOtherIncomeExpenseNet,-1127000000,-1535000000,-1768000000,-1599000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2092000000,874000000,1233000000,311000000
netIncomeApplicableToCommonShares,2002000000,767000000,1081000000,159000000
