Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,258357000,226598000,202710000,199196000
effectOfAccountingCharges,,,,
incomeBeforeTax,5438149000,4907638000,2261081000,512659000
minorityInterest,,,,
netIncome,4245902000,3806267000,1758675000,365614000
sellingGeneralAdministrative,853174000,799967000,824625000,834783000
grossProfit,1665661000,1437822000,1256996000,1227251000
ebit,554130000,411257000,229661000,193272000
operatingIncome,554130000,411257000,229661000,193272000
otherOperatingExpenses,,,,
interestExpense,-1551000,-21861000,-23416000,-23962000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1192247000,1101371000,502406000,147045000
totalRevenue,2922545000,2545626000,2311659000,2289415000
totalOperatingExpenses,2368415000,2134369000,2081998000,2096143000
costOfRevenue,1256884000,1107804000,1054663000,1062164000
totalOtherIncomeExpenseNet,4884019000,4496381000,2031420000,319387000
discontinuedOperations,,,,
netIncomeFromContinuingOps,4245902000,3806267000,1758675000,365614000
netIncomeApplicableToCommonShares,4245902000,3806267000,1758675000,365614000
