Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1465000000,567000000,5958000000,4835000000
minorityInterest,,,,
netIncome,1165000000,59000000,4865000000,3998000000
sellingGeneralAdministrative,5714000000,3814000000,7004000000,6718000000
grossProfit,8780000000,4653000000,12818000000,12485000000
ebit,2645000000,381000000,5345000000,5341000000
operatingIncome,2645000000,381000000,5345000000,5341000000
otherOperatingExpenses,,,,
interestExpense,-334000000,-356000000,-266000000,-269000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,300000000,508000000,1093000000,837000000
totalRevenue,10958000000,6796000000,15066000000,14527000000
totalOperatingExpenses,8313000000,6415000000,9721000000,9186000000
costOfRevenue,2178000000,2143000000,2248000000,2042000000
totalOtherIncomeExpenseNet,-1180000000,186000000,613000000,-506000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1165000000,59000000,4865000000,3998000000
netIncomeApplicableToCommonShares,1165000000,59000000,4865000000,3998000000
