Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,428000000,-15202000000,753000000,541000000
minorityInterest,1916000000,5349000000,12570000000,17548000000
netIncome,-219000000,-9940000000,128000000,195000000
sellingGeneralAdministrative,2447000000,2405000000,2827000000,2654000000
grossProfit,4049000000,3445000000,4432000000,3986000000
ebit,1602000000,1032000000,1605000000,1321000000
operatingIncome,1602000000,1032000000,1605000000,1321000000
otherOperatingExpenses,,8000000.0,8000000.0,11000000.0
interestExpense,-271000000,-264000000,-237000000,-223000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,758000000,559000000,482000000,258000000
totalRevenue,20502000000,20705000000,23838000000,22877000000
totalOperatingExpenses,18900000000,19673000000,22233000000,21556000000
costOfRevenue,16453000000,17260000000,19406000000,18891000000
totalOtherIncomeExpenseNet,-1174000000,-16234000000,-852000000,-780000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-330000000,-15761000000,271000000,283000000
netIncomeApplicableToCommonShares,-219000000,-9940000000,128000000,195000000
