Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4648000000,4468000000,5587000000,5192000000
minorityInterest,357000000,319000000,245000000,230000000
netIncome,3759000000,3617000000,4441000000,4266000000
sellingGeneralAdministrative,9879000000,9425000000,9407000000,9399000000
grossProfit,16162000000,15472000000,16487000000,16403000000
ebit,0,0,0,0
operatingIncome,4730000000,4572000000,5704000000,5372000000
otherOperatingExpenses,1553000000,1475000000,1376000000,1632000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,877000000,842000000,1120000000,938000000
totalRevenue,16162000000,15472000000,16487000000,16403000000
totalOperatingExpenses,11432000000,10900000000,10783000000,11031000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-82000000,-104000000,-117000000,-180000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3771000000,3626000000,4467000000,4254000000
netIncomeApplicableToCommonShares,3550000000,3417000000,4254000000,4070000000
