Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,8173000000,6524000000,5787000000,5378000000
minorityInterest,1200000000,2373000000,1382000000,1166000000
netIncome,5901000000,4932000000,4476000000,4305000000
sellingGeneralAdministrative,2187000000,2442000000,1705000000,1573000000
grossProfit,9818000000,8266000000,7406000000,7205000000
ebit,7484000000,5718000000,5604000000,5582000000
operatingIncome,7484000000,5718000000,5604000000,5582000000
otherOperatingExpenses,,,,
interestExpense,-205000000,-205000000,-203000000,-184000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1968000000,1238000000,1261000000,1076000000
totalRevenue,19374000000,16205000000,14539000000,14198000000
totalOperatingExpenses,11890000000,10487000000,8935000000,8616000000
costOfRevenue,9556000000,7939000000,7133000000,6993000000
totalOtherIncomeExpenseNet,689000000,806000000,183000000,-204000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,6205000000,5286000000,4526000000,4302000000
netIncomeApplicableToCommonShares,5901000000,4932000000,4476000000,4305000000
