Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,762823000,624099000,525929000,462462000
minorityInterest,,,,
netIncome,587104000,480483000,398514000,344255000
sellingGeneralAdministrative,,,,
grossProfit,1413388000,1174187000,1078226000,940943000
ebit,857545000,673415000,572422000,499447000
operatingIncome,857545000,673415000,572422000,499447000
otherOperatingExpenses,402941000,365973000,377089000,332118000
interestExpense,-64981000,-58973000,-63660000,-40580000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,175719000,143616000,127415000,118207000
totalRevenue,3050299000,2610564000,2386391000,2009857000
totalOperatingExpenses,2192754000,1937149000,1813969000,1510410000
costOfRevenue,1636911000,1436377000,1308165000,1068914000
totalOtherIncomeExpenseNet,-94722000,-49316000,-46493000,-36985000
discontinuedOperations,,,,
netIncomeFromContinuingOps,587104000,480483000,398514000,344255000
netIncomeApplicableToCommonShares,587104000,480483000,398514000,344255000
