Breakdown,2021-06-30,2020-06-30,2019-06-30,2018-06-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,696200000,579500000,607300000,561000000
minorityInterest,,,,
netIncome,547500000,462500000,482100000,427900000
sellingGeneralAdministrative,744300000,639000000,577500000,564500000
grossProfit,1422900000,1263900000,1230300000,1162500000
ebit,678600000,624900000,652800000,598000000
operatingIncome,678600000,624900000,652800000,598000000
otherOperatingExpenses,,,,
interestExpense,-57500000,-62500000,-45900000,-42400000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,148700000,117000000,125200000,133100000
totalRevenue,4993700000,4529000000,4362200000,4329900000
totalOperatingExpenses,4315100000,3904100000,3709400000,3731900000
costOfRevenue,3570800000,3265100000,3131900000,3167400000
totalOtherIncomeExpenseNet,17600000,-45400000,-45500000,-37000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,547500000,462500000,482100000,427900000
netIncomeApplicableToCommonShares,547500000,462500000,482100000,427900000
