Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,1204000000,1139000000,1174000000,1113000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1077000000,-80000000,687000000,1422000000
minorityInterest,,,,
netIncome,1041000000,-82000000,4700000000,1671000000
sellingGeneralAdministrative,4287000000,3736000000,3928000000,3557000000
grossProfit,8241000000,6793000000,7632000000,6993000000
ebit,2009000000,1129000000,1831000000,1724000000
operatingIncome,2009000000,1129000000,1831000000,1724000000
otherOperatingExpenses,,,,
interestExpense,-341000000,-361000000,-473000000,-241000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,36000000,2000000,-4013000000,-249000000
totalRevenue,11888000000,9913000000,10735000000,9823000000
totalOperatingExpenses,9879000000,8784000000,8904000000,8099000000
costOfRevenue,3647000000,3120000000,3103000000,2830000000
totalOtherIncomeExpenseNet,-932000000,-1209000000,-1144000000,-302000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1041000000,-82000000,4700000000,1671000000
netIncomeApplicableToCommonShares,986000000,-115000000,4700000000,1671000000
