Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,789000000,964000000,1265000000,1196000000
minorityInterest,314000000,296000000,138000000,119000000
netIncome,537000000,500000000,746000000,931000000
sellingGeneralAdministrative,1415000000,944000000,900000000,936000000
grossProfit,2855000000,1910000000,2101000000,2230000000
ebit,1449000000,970000000,1203000000,1298000000
operatingIncome,1449000000,970000000,1203000000,1298000000
otherOperatingExpenses,-9000000,-4000000,-2000000,-4000000
interestExpense,-85000000,-73000000,-55000000,-59000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,150000000,397000000,468000000,211000000
totalRevenue,14838000000,10165000000,10168000000,10530000000
totalOperatingExpenses,13389000000,9195000000,8965000000,9232000000
costOfRevenue,11983000000,8255000000,8067000000,8300000000
totalOtherIncomeExpenseNet,-660000000,-6000000,62000000,-102000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,639000000,567000000,797000000,985000000
netIncomeApplicableToCommonShares,537000000,500000000,746000000,931000000
