Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,631932000,1018691000,651999000,712563000
minorityInterest,2199208000,2343529000,2329549000,2330797000
netIncome,505195000,872727000,521534000,582847000
sellingGeneralAdministrative,151573000,133112000,140777000,121722000
grossProfit,1826695000,1705929000,1888601000,1700952000
ebit,974086000,889066000,1070060000,933581000
operatingIncome,974086000,889066000,1070060000,933581000
otherOperatingExpenses,,,,
interestExpense,-423346000,-431717000,-412717000,-378168000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,0,0,0,0
totalRevenue,2865880000,2737804000,2974599000,2715570000
totalOperatingExpenses,1891794000,1848738000,1904539000,1781989000
costOfRevenue,1039185000,1031875000,1085998000,1014618000
totalOtherIncomeExpenseNet,-342154000,129625000,-418061000,-221018000
discontinuedOperations,,,,
netIncomeFromContinuingOps,631932000,1018691000,651999000,712563000
netIncomeApplicableToCommonShares,496223000,861479000,511034000,572246000
