Breakdown,2022-05-29,2021-05-30,2020-05-31,2019-05-26
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1178700000,1494700000,1043100000,899100000
minorityInterest,74500000,79600000,74600000,79100000
netIncome,888200000,1298800000,840100000,678300000
sellingGeneralAdministrative,1134200000,1211100000,1612600000,1348700000
grossProfit,2860600000,3179200000,3069600000,2653000000
ebit,1726400000,1968100000,1457000000,1304300000
operatingIncome,1726400000,1968100000,1457000000,1304300000
otherOperatingExpenses,,,,
interestExpense,-382000000,-422300000,-490200000,-386300000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,290500000,193800000,201300000,218800000
totalRevenue,11535900000,11184700000,11054400000,9538400000
totalOperatingExpenses,9809500000,9216600000,9597400000,8234100000
costOfRevenue,8675300000,8005500000,7984800000,6885400000
totalOtherIncomeExpenseNet,-547700000,-473400000,-413900000,-405200000
discontinuedOperations,,,,-1900000.0
netIncomeFromContinuingOps,888200000,1300900000,841800000,680300000
netIncomeApplicableToCommonShares,888200000,1298800000,840100000,678300000
