Breakdown,2021-06-30,2020-06-30,2019-06-30,2018-06-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,323000000,-3772000000,1751000000,-228000000
minorityInterest,3000000,3000000,2000000,12000000
netIncome,611000000,-3696000000,1363000000,256000000
sellingGeneralAdministrative,4533000000,4572000000,4480000000,4596000000
grossProfit,6975000000,6868000000,6834000000,7181000000
ebit,1991000000,1772000000,1733000000,1985000000
operatingIncome,1991000000,1772000000,1733000000,1985000000
otherOperatingExpenses,,,,
interestExpense,-180000000,-238000000,-294000000,-329000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-289000000,-79000000,386000000,-487000000
totalRevenue,162467000000,152922000000,145534000000,136809000000
totalOperatingExpenses,160476000000,151150000000,143801000000,134824000000
costOfRevenue,155492000000,146054000000,138700000000,129628000000
totalOtherIncomeExpenseNet,-1668000000,-5544000000,18000000,-2213000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,612000000,-3693000000,1365000000,259000000
netIncomeApplicableToCommonShares,611000000,-3696000000,1363000000,256000000
