Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,503000000,419000000,401000000,400000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2400000000,2855000000,2672000000,3842000000
minorityInterest,327000000,326000000,333000000,352000000
netIncome,1664000000,1982000000,2116000000,2734000000
sellingGeneralAdministrative,2979000000,2590000000,2517000000,2477000000
grossProfit,6008000000,5129000000,5455000000,5605000000
ebit,2568000000,2086000000,2643000000,2866000000
operatingIncome,2568000000,2086000000,2643000000,2866000000
otherOperatingExpenses,-42000000,34000000,-106000000,-138000000
interestExpense,-319000000,-298000000,-298000000,-84000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,699000000,849000000,517000000,1073000000
totalRevenue,20613000000,17456000000,18608000000,18914000000
totalOperatingExpenses,18045000000,15370000000,15965000000,16048000000
costOfRevenue,14605000000,12327000000,13153000000,13309000000
totalOtherIncomeExpenseNet,-168000000,769000000,29000000,976000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1701000000,2006000000,2155000000,2769000000
netIncomeApplicableToCommonShares,1664000000,1982000000,2116000000,2734000000
