Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2409421000,969969000,1361345000,1379006000
minorityInterest,830924000,427334000,40419000,71105000
netIncome,1836574000,751989000,1282357000,1063219000
sellingGeneralAdministrative,4029632000,3161207000,3436009000,3356649000
grossProfit,6166529000,4828075000,5205078000,4890876000
ebit,1611026000,1185832000,1329845000,1082239000
operatingIncome,1611026000,1185832000,1329845000,1082239000
otherOperatingExpenses,,,,
interestExpense,-50352000,-67753000,-85754000,-98685000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,567506000,214101000,69895000,313058000
totalRevenue,27746036000,23826195000,23894091000,21340088000
totalOperatingExpenses,26135010000,22640363000,22564246000,20257849000
costOfRevenue,21579507000,18998120000,18689013000,16449212000
totalOtherIncomeExpenseNet,798395000,-215863000,31500000,296767000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1841915000,755868000,1291450000,1065948000
netIncomeApplicableToCommonShares,1836574000,751989000,1282357000,1063219000
