Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,9816000000,4162000000,5249000000,4657000000
minorityInterest,,,,
netIncome,8539000000,3533000000,4454000000,3962000000
sellingGeneralAdministrative,3221000000,3078000000,3139000000,3000000000
grossProfit,11443000000,7110000000,8716000000,8224000000
ebit,7875000000,3659000000,5207000000,4843000000
operatingIncome,7875000000,3659000000,5207000000,4843000000
otherOperatingExpenses,60000000,83000000,65000000,42000000
interestExpense,-492000000,-516000000,-552000000,-641000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1277000000,629000000,795000000,695000000
totalRevenue,40955000000,36052000000,34230000000,32679000000
totalOperatingExpenses,33080000000,32393000000,29023000000,27836000000
costOfRevenue,29512000000,28942000000,25514000000,24455000000
totalOtherIncomeExpenseNet,1941000000,503000000,42000000,-186000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,8539000000,3533000000,4454000000,3962000000
netIncomeApplicableToCommonShares,8539000000,3533000000,4454000000,3962000000
