Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-90300000,-20000000,34300000,-26900000
minorityInterest,,,,
netIncome,-75400000,-4000000,78700000,-60600000
sellingGeneralAdministrative,414500000,306800000,301100000,257500000
grossProfit,436000000,386000000,404600000,349200000
ebit,-29400000,38700000,67100000,57400000
operatingIncome,-29400000,38700000,67100000,57400000
otherOperatingExpenses,,,,
interestExpense,-35900000,-25100000,-32400000,-57500000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-14900000,-16000000,-44400000,8400000
totalRevenue,1024200000,842500000,824100000,740700000
totalOperatingExpenses,1053600000,803800000,757000000,683300000
costOfRevenue,588200000,456500000,419500000,391500000
totalOtherIncomeExpenseNet,-60900000,-58700000,-32800000,-84300000
discontinuedOperations,,,,-25800000.0
netIncomeFromContinuingOps,-75400000,-4000000,78700000,-35300000
netIncomeApplicableToCommonShares,-75400000,-4000000,78700000,-68300000
