Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,86000000,74000000,67000000,72000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2248000000,2251000000,988000000,1510000000
minorityInterest,348000000,369000000,391000000,395000000
netIncome,1890000000,1985000000,852000000,1207000000
sellingGeneralAdministrative,527000000,464000000,502000000,606000000
grossProfit,2682000000,1293000000,1606000000,1972000000
ebit,2044000000,734000000,1013000000,1270000000
operatingIncome,2044000000,734000000,1013000000,1270000000
otherOperatingExpenses,,-1000000.0,114000000.0,114000000.0
interestExpense,-91000000,-109000000,-115000000,-125000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,330000000,247000000,124000000,292000000
totalRevenue,8537000000,5655000000,6297000000,7155000000
totalOperatingExpenses,6493000000,4921000000,5284000000,5885000000
costOfRevenue,5855000000,4362000000,4691000000,5183000000
totalOtherIncomeExpenseNet,204000000,1517000000,-25000000,240000000
discontinuedOperations,-22000000,-12000000,-6000000,-5000000
netIncomeFromContinuingOps,1918000000,2004000000,864000000,1218000000
netIncomeApplicableToCommonShares,1890000000,1985000000,852000000,1207000000
