Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2977000000,1298000000,2251000000,2183000000
minorityInterest,,,,
netIncome,2319000000,1057000000,1791000000,1721000000
sellingGeneralAdministrative,3781000000,3672000000,3483000000,3253000000
grossProfit,7058000000,5289000000,6098000000,5802000000
ebit,0,0,0,0
operatingIncome,2977000000,1298000000,2251000000,2183000000
otherOperatingExpenses,300000000,319000000,364000000,366000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,658000000,241000000,460000000,462000000
totalRevenue,7058000000,5289000000,6098000000,5802000000
totalOperatingExpenses,4081000000,3991000000,3847000000,3619000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,0,0,0,-54000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2319000000,1057000000,1791000000,1721000000
netIncomeApplicableToCommonShares,2206000000,950000000,1718000000,1692000000
