Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1031700000,973800000,773700000,719500000
minorityInterest,,,,
netIncome,827500000,785900000,615900000,568600000
sellingGeneralAdministrative,1282400000,1278500000,1142600000,1056600000
grossProfit,2263500000,2214200000,1984000000,1840800000
ebit,981100000,935700000,841400000,784200000
operatingIncome,981100000,935700000,841400000,784200000
otherOperatingExpenses,,,,
interestExpense,-54500000,-61000000,-73600000,-79400000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,204200000,187900000,157800000,150900000
totalRevenue,5190100000,4895800000,4357700000,4145900000
totalOperatingExpenses,4209000000,3960100000,3516300000,3361700000
costOfRevenue,2926600000,2681600000,2373700000,2305100000
totalOtherIncomeExpenseNet,50600000,38100000,-67700000,-64700000
discontinuedOperations,,,,
netIncomeFromContinuingOps,827500000,785900000,615900000,568600000
netIncomeApplicableToCommonShares,827500000,785900000,615900000,568600000
