Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1022291000,628331000,742257000,880273000
minorityInterest,,,,
netIncome,844245000,506421000,576968000,664505000
sellingGeneralAdministrative,526371000,496122000,497806000,449610000
grossProfit,1608479000,1169390000,1287782000,1361693000
ebit,1082108000,673268000,789976000,912083000
operatingIncome,1082108000,673268000,789976000,912083000
otherOperatingExpenses,,,,
interestExpense,-52100000,-48237000,-47719000,-31810000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,178046000,121910000,165289000,215768000
totalRevenue,23102138000,16207106000,15309508000,16631172000
totalOperatingExpenses,22020030000,15533838000,14519532000,15719089000
costOfRevenue,21493659000,15037716000,14021726000,15269479000
totalOtherIncomeExpenseNet,-59817000,-44937000,-47719000,-31810000
discontinuedOperations,,,,
netIncomeFromContinuingOps,844245000,506421000,576968000,664505000
netIncomeApplicableToCommonShares,844245000,506421000,576968000,664505000
