Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,6388000000,4302000000,2431000000,1686000000
minorityInterest,4106000000,6476000000,7366000000,7987000000
netIncome,4654000000,3222000000,1668000000,1230000000
sellingGeneralAdministrative,2766000000,3097000000,3113000000,2850000000
grossProfit,23271000000,21198000000,19584000000,18816000000
ebit,11160000000,8397000000,6545000000,5648000000
operatingIncome,11160000000,8397000000,6545000000,5648000000
otherOperatingExpenses,,,,235000000.0
interestExpense,-4037000000,-3848000000,-3797000000,-3540000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1068000000,626000000,439000000,180000000
totalRevenue,51682000000,48097000000,45764000000,43634000000
totalOperatingExpenses,40522000000,39700000000,39219000000,37986000000
costOfRevenue,28411000000,26899000000,26180000000,24818000000
totalOtherIncomeExpenseNet,-4772000000,-4095000000,-4114000000,-3962000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,5320000000,3676000000,1992000000,1506000000
netIncomeApplicableToCommonShares,4654000000,3222000000,1668000000,1230000000
