Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3670000000,1499000000,2472000000,251000000
minorityInterest,,,,
netIncome,2946000000,1216000000,1997000000,287000000
sellingGeneralAdministrative,,,,
grossProfit,3827000000,1658000000,2634000000,395000000
ebit,3723000000,1553000000,2525000000,304000000
operatingIncome,3723000000,1553000000,2525000000,304000000
otherOperatingExpenses,104000000,105000000,109000000,91000000
interestExpense,-53000000,-54000000,-53000000,-53000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,724000000,283000000,475000000,-36000000
totalRevenue,9630000000,7536000000,7924000000,5407000000
totalOperatingExpenses,5907000000,5983000000,5399000000,5103000000
costOfRevenue,5803000000,5878000000,5290000000,5012000000
totalOtherIncomeExpenseNet,-53000000,-54000000,-53000000,-53000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2946000000,1216000000,1997000000,287000000
netIncomeApplicableToCommonShares,2946000000,1216000000,1997000000,287000000
