Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,6782000000,10868000000,6570000000,3581000000
minorityInterest,72000000,65000000,41000000,44000000
netIncome,5365000000,8458000000,5104000000,2637000000
sellingGeneralAdministrative,12809000000,13660000000,13315000000,11141000000
grossProfit,23159000000,24356000000,25256000000,16248000000
ebit,8352000000,8714000000,8992000000,4872000000
operatingIncome,8352000000,8714000000,8992000000,4872000000
otherOperatingExpenses,,,,
interestExpense,-1300000000,-1400000000,-1600000000,-280000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1367000000,2379000000,1450000000,935000000
totalRevenue,174274000000,160550000000,153743000000,48569000000
totalOperatingExpenses,165922000000,151836000000,144751000000,43697000000
costOfRevenue,151115000000,136194000000,128487000000,32321000000
totalOtherIncomeExpenseNet,-1570000000,2154000000,-2422000000,-1291000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,5415000000,8489000000,5120000000,2646000000
netIncomeApplicableToCommonShares,5365000000,8458000000,5104000000,2637000000
