Breakdown,2021-06-30,2020-06-30,2019-06-30,2018-06-30
researchDevelopment,149000000,145000000,136000000,132000000
effectOfAccountingCharges,,,,
incomeBeforeTax,900000000,1185000000,1024000000,1054000000
minorityInterest,181000000,181000000,181000000,181000000
netIncome,710000000,939000000,820000000,823000000
sellingGeneralAdministrative,1809000000,1654000000,1482000000,1407000000
grossProfit,3199000000,3063000000,2728000000,2675000000
ebit,1218000000,1251000000,1104000000,1125000000
operatingIncome,1218000000,1251000000,1104000000,1125000000
otherOperatingExpenses,23000000,13000000,6000000,11000000
interestExpense,-99000000,-99000000,-97000000,-85000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,181000000,246000000,204000000,231000000
totalRevenue,7341000000,6721000000,6214000000,6124000000
totalOperatingExpenses,6123000000,5470000000,5110000000,4999000000
costOfRevenue,4142000000,3658000000,3486000000,3449000000
totalOtherIncomeExpenseNet,-318000000,-66000000,-80000000,-71000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,719000000,939000000,820000000,823000000
netIncomeApplicableToCommonShares,710000000,939000000,820000000,823000000
