Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3087000000,3647000000,3301000000,3464000000
minorityInterest,362000000,358000000,441000000,299000000
netIncome,2166000000,2695000000,2367000000,2400000000
sellingGeneralAdministrative,6477000000,6096000000,5616000000,5434000000
grossProfit,10375000000,10021000000,9336000000,9262000000
ebit,3831000000,3789000000,3644000000,3759000000
operatingIncome,3831000000,3789000000,3644000000,3759000000
otherOperatingExpenses,67000000,136000000,76000000,69000000
interestExpense,-192000000,-183000000,-192000000,-193000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,749000000,787000000,774000000,906000000
totalRevenue,17421000000,16471000000,15693000000,15544000000
totalOperatingExpenses,13590000000,12682000000,12049000000,11785000000
costOfRevenue,7046000000,6450000000,6357000000,6282000000
totalOtherIncomeExpenseNet,-744000000,-142000000,-343000000,-295000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2338000000,2860000000,2527000000,2558000000
netIncomeApplicableToCommonShares,2166000000,2695000000,2367000000,2400000000
