Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3373600000,2722100000,2689600000,2777800000
minorityInterest,,31600000.0,30400000.0,46800000.0
netIncome,2636400000,2105200000,2116500000,1962200000
sellingGeneralAdministrative,1482100000,1558000000,1446500000,1126100000
grossProfit,4679300000,4870300000,4868000000,4309400000
ebit,2604500000,2673400000,2656100000,2681200000
operatingIncome,2604500000,2673400000,2656100000,2681200000
otherOperatingExpenses,207300000,174500000,292100000,253400000
interestExpense,-166900000,-166200000,-178000000,-157700000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,736700000,615700000,573800000,814100000
totalRevenue,4679300000,4870300000,4868000000,4309400000
totalOperatingExpenses,2074800000,2196900000,2211900000,1628200000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,769100000,48700000,33500000,34300000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2636900000,2106400000,2115800000,1963700000
netIncomeApplicableToCommonShares,2617100000,2105200000,2116500000,1962200000
