Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,27469000000,13632000000,23901000000,23445000000
minorityInterest,700000000,758000000,704000000,854000000
netIncome,21952000000,11047000000,19401000000,18045000000
sellingGeneralAdministrative,36766000000,33147000000,32354000000,32216000000
grossProfit,74990000000,59572000000,66849000000,65500000000
ebit,0,0,0,0
operatingIncome,27469000000,13632000000,23901000000,23445000000
otherOperatingExpenses,10755000000,12793000000,10594000000,9839000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5451000000,2525000000,4430000000,5357000000
totalRevenue,74990000000,59572000000,66849000000,65500000000
totalOperatingExpenses,47521000000,45940000000,42948000000,42055000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,0,0,0,0
discontinuedOperations,7000000,-20000000,-4000000,-8000000
netIncomeFromContinuingOps,22018000000,11107000000,19471000000,18088000000
netIncomeApplicableToCommonShares,20758000000,9879000000,18171000000,16671000000
