Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,812763000,293781000,458285000,268436000
minorityInterest,,,,
netIncome,652984000,355766000,350158000,176553000
sellingGeneralAdministrative,823788000,682748000,611214000,460103000
grossProfit,2904063000,2071093000,1903321000,1591023000
ebit,829647000,327140000,479509000,352059000
operatingIncome,829647000,327140000,479509000,352059000
otherOperatingExpenses,974707000,807156000,588712000,568336000
interestExpense,-180000,-554000,-1853000,-536000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,159779000,-61985000,108127000,91883000
totalRevenue,7547061000,5984634000,5586369000,4864985000
totalOperatingExpenses,6717414000,5657494000,5106860000,4512926000
costOfRevenue,4642998000,3913541000,3683048000,3273962000
totalOtherIncomeExpenseNet,-16884000,-33359000,-21224000,-83623000
discontinuedOperations,,,,
netIncomeFromContinuingOps,652984000,355766000,350158000,176553000
netIncomeApplicableToCommonShares,652984000,355766000,350158000,176553000
