Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,1090000000,906000000,1001000000,902000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2751000000,2338000000,2834000000,2753000000
minorityInterest,927000000,927000000,958000000,911000000
netIncome,2131000000,1789000000,2260000000,2141000000
sellingGeneralAdministrative,2278000000,2060000000,2454000000,2437000000
grossProfit,5695000000,4894000000,5980000000,5737000000
ebit,2310000000,1912000000,2489000000,2392000000
operatingIncome,2310000000,1912000000,2489000000,2392000000
otherOperatingExpenses,17000000,16000000,36000000,6000000
interestExpense,-111000000,-100000000,-109000000,-114000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,587000000,527000000,566000000,566000000
totalRevenue,24021000000,19811000000,23571000000,23771000000
totalOperatingExpenses,21711000000,17899000000,21082000000,21379000000
costOfRevenue,18326000000,14917000000,17591000000,18034000000
totalOtherIncomeExpenseNet,441000000,426000000,345000000,361000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2164000000,1811000000,2268000000,2187000000
netIncomeApplicableToCommonShares,2131000000,1789000000,2260000000,2141000000
