Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,823000000,809000000,764000000,774000000
minorityInterest,557000000,581000000,37000000,37000000
netIncome,1353000000,755000000,680000000,657000000
sellingGeneralAdministrative,-165000000,-118000000,-91000000,-90000000
grossProfit,2646000000,2630000000,2435000000,2398000000
ebit,1308000000,1348000000,1206000000,1252000000
operatingIncome,1308000000,1348000000,1206000000,1252000000
otherOperatingExpenses,389000000,357000000,331000000,303000000
interestExpense,-503000000,-507000000,-464000000,-461000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,95000000,115000000,131000000,115000000
totalRevenue,7329000000,6418000000,6624000000,6873000000
totalOperatingExpenses,6021000000,5070000000,5418000000,5621000000
costOfRevenue,4683000000,3788000000,4189000000,4475000000
totalOtherIncomeExpenseNet,-485000000,-539000000,-442000000,-478000000
discontinuedOperations,602000000,58000000,49000000,49000000
netIncomeFromContinuingOps,728000000,694000000,633000000,659000000
netIncomeApplicableToCommonShares,1348000000,755000000,680000000,657000000
