Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1813000000,2773000000,1782000000,1368000000
minorityInterest,227000000,189000000,141000000,106000000
netIncome,1347000000,1808000000,1321000000,900000000
sellingGeneralAdministrative,9941000000,10763000000,6448000000,6331000000
grossProfit,19574000000,17912000000,11945000000,10631000000
ebit,3681000000,4110000000,2580000000,2132000000
operatingIncome,3681000000,4110000000,2580000000,2132000000
otherOperatingExpenses,5182000000,2320000000,2659000000,1957000000
interestExpense,-665000000,-728000000,-412000000,-343000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,477000000,979000000,473000000,474000000
totalRevenue,118176000000,104176000000,70807000000,56688000000
totalOperatingExpenses,114495000000,100066000000,68227000000,54556000000
costOfRevenue,98602000000,86264000000,58862000000,46057000000
totalOtherIncomeExpenseNet,-1868000000,-1337000000,-798000000,-764000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1336000000,1794000000,1309000000,894000000
netIncomeApplicableToCommonShares,1347000000,1808000000,1321000000,900000000
